2. Optimizing matrix-matrix multiplication.
I am using CIMS snappy1 machine which has Two Intel Xeon E5-2680 (2.80 GHz) (20 cores), 128 GB Memory, 25600 KB cache size.

JPI
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.419862   4.763472   9.526945 0.000000e+00
        64   0.416514   4.802142   9.604284 0.000000e+00
       112   0.418038   4.785728   9.571455 0.000000e+00
       160   0.419321   4.786407   9.572815 0.000000e+00
       208   0.425933   4.732571   9.465142 0.000000e+00
       256   0.517723   3.888696   7.777392 0.000000e+00
       304   0.425988   4.748490   9.496979 0.000000e+00
       352   0.429832   4.667528   9.335055 0.000000e+00
       400   0.435343   4.704341   9.408682 0.000000e+00
       448   0.467486   4.616118   9.232236 0.000000e+00
       496   0.468894   4.684283   9.368567 0.000000e+00
       544   0.481803   4.677947   9.355894 0.000000e+00
       592   0.434629   4.773604   9.547209 0.000000e+00
       640   0.463666   4.522984   9.045968 0.000000e+00
       688   0.552778   4.713074   9.426149 0.000000e+00
       736   0.512074   4.671454   9.342908 0.000000e+00
       784   0.609049   4.747305   9.494611 0.000000e+00
       832   0.500995   4.598294   9.196589 0.000000e+00
       880   0.581923   4.684279   9.368557 0.000000e+00
       928   0.692253   4.617840   9.235679 0.000000e+00
       976   0.809919   4.591638   9.183277 0.000000e+00
      1024   0.639289   3.359173   6.718346 0.000000e+00
      1072   0.537780   4.581518   9.163037 0.000000e+00
      1120   0.616091   4.560781   9.121562 0.000000e+00
      1168   0.728918   4.371996   8.743992 0.000000e+00
      1216   0.836766   4.297607   8.595214 0.000000e+00
      1264   0.880223   4.588582   9.177163 0.000000e+00
      1312   0.994707   4.540841   9.081681 0.000000e+00
      1360   1.164635   4.319732   8.639465 0.000000e+00
      1408   1.341153   4.162552   8.325105 0.000000e+00
      1456   1.362239   4.531697   9.063394 0.000000e+00
      1504   1.650691   4.121998   8.243997 0.000000e+00
      1552   1.672418   4.470543   8.941086 0.000000e+00
      1600   1.909160   4.290893   8.581786 0.000000e+00
      1648   2.101752   4.259123   8.518246 0.000000e+00
      1696   2.763235   3.530935   7.061870 0.000000e+00
      1744   2.404712   4.411705   8.823409 0.000000e+00
      1792   3.200293   3.596286   7.192572 0.000000e+00
      1840   2.891595   4.308698   8.617396 0.000000e+00
      1888   3.552464   3.788840   7.577680 0.000000e+00
      1936   3.249867   4.465606   8.931212 0.000000e+00
      1984   3.586866   4.354516   8.709032 0.000000e+00

PJI
Dimension       Time    Gflop/s       GB/s        Error
        16   0.548470   3.646510   7.293020 0.000000e+00
        64   0.537927   3.718273   7.436547 0.000000e+00
       112   0.539944   3.705230   7.410461 0.000000e+00
       160   0.537314   3.735323   7.470645 0.000000e+00
       208   0.540057   3.732489   7.464978 0.000000e+00
       256   0.577214   3.487904   6.975808 0.000000e+00
       304   0.549276   3.682670   7.365340 0.000000e+00
       352   0.550601   3.643750   7.287500 0.000000e+00
       400   0.558219   3.668814   7.337628 0.000000e+00
       448   0.590867   3.652207   7.304414 0.000000e+00
       496   0.601450   3.651894   7.303788 0.000000e+00
       544   0.603568   3.734211   7.468421 0.000000e+00
       592   0.562042   3.691442   7.382885 0.000000e+00
       640   0.576949   3.634902   7.269804 0.000000e+00
